plr_id,plr_name,bez,centroid_lat,centroid_lng,transit_count,university_count,school_count,nightlife_count,office_count,fastfood_count
08200729,Britzer Garten,08,52.43462167965249,13.421599391600466,0,1,5,1,7,0
02200207,Gleisdreieck,02,52.4981736301897,13.374519415422938,5,0,2,4,9,3
12200413,Tegel Süd,12,52.57854646056247,13.276676030419749,1,0,5,0,8,2
04500937,Halensee,04,52.498069106174476,13.289947271648614,9,3,6,6,23,1
03400830,Kissingenviertel,03,52.56747834994468,13.421148053284638,8,0,9,3,10,0
03500936,Komponistenviertel Weißensee,03,52.54610823511107,13.45913499267245,20,0,17,4,8,1
10200420,Gut Hellersdorf,10,52.5366216653123,13.590844350200914,6,0,6,4,3,0
01200517,Huttenkiez,01,52.534174049451615,13.335624739645802,14,3,7,2,40,3
04300619,Alt-Lietzow,04,52.518803761465946,13.309577916082162,12,0,16,7,17,2
06100205,Südende,06,52.447326489930575,13.348109586481472,19,0,8,3,7,3
04300624,Savignyplatz,04,52.50797656464257,13.319710012710052,8,8,17,24,23,2
10200419,Havelländer Ring,10,52.54218960916515,13.599652596971989,3,0,3,2,2,1
04200207,Eichkamp,04,52.49175177861497,13.24092981556392,24,0,13,1,3,0
02200211,Chamissokiez,02,52.488222964070076,13.395979846084805,7,1,39,42,62,7
03601141,Arnimplatz,03,52.55246904374913,13.41083702193387,7,0,19,8,11,0
11401137,Erieseering,11,52.49855238496333,13.518753066400134,15,0,5,2,7,0
10100311,Marzahner Chaussee,10,52.525656305213275,13.531513603095124,52,0,10,4,41,1
09100306,Späthsfelde,09,52.45029715391889,13.478664960902936,16,1,1,2,5,0
03400724,Wolfshagener Straße,03,52.57778877051099,13.421312872428048,8,0,16,1,5,0
01200628,Lüneburger Straße,01,52.52189250312847,13.363693416838794,23,1,7,7,32,9
08401241,Blumenviertel,08,52.43231194484436,13.481065416118662,19,0,1,5,5,0
04400726,Bismarckallee,04,52.491482590631094,13.279961103717762,15,1,8,1,18,0
12400618,Heiligensee Nord,12,52.61979822182649,13.246967549897462,17,0,4,0,5,0
11300618,Storkower Bogen,11,52.52659319163678,13.464037418549648,7,0,6,1,4,1
06100102,Schloßstraße,06,52.4598155516663,13.320557096751996,15,1,14,12,15,2
03701660,Bötzowstraße,03,52.53278486014161,13.431780792086329,13,2,40,15,23,3
01400941,Londoner Straße,01,52.56107600218005,13.338757204465729,0,0,1,1,5,0
08100313,Bouchéstraße,08,52.48750724437491,13.442503359000934,6,0,3,1,0,0
01100416,Arkonaplatz,01,52.53458748666105,13.402200968922681,13,0,34,28,20,5
01100313,Heine-Viertel Ost,01,52.50790018847774,13.420316983690752,13,3,10,7,20,1
12400721,Frohnau Ost,12,52.64189322691644,13.299623116032759,20,0,10,1,6,0
01200519,Emdener Straße,01,52.529641792207194,13.3318464069324,3,0,18,12,5,2
03400721,Florakiez,03,52.566006097227955,13.399849646895982,13,0,27,12,17,0
02200209,Viktoriapark,02,52.48866624621724,13.380125191016894,21,0,29,20,27,3
05400944,Kladower Damm,05,52.45428751489264,13.148286709141926,8,0,2,4,3,1
02500830,Niederbarnimstraße,02,52.513858016488285,13.458891376623962,8,0,8,17,3,2
07501031,Eisenacher Straße,07,52.44621778475493,13.393036669737738,22,0,4,4,3,5
08301037,Gropiusstadt Süd-Ost,08,52.422721484215444,13.477565084109637,5,0,6,2,5,0
12601031,Lübarser Straße,12,52.60303631417111,13.337101153177365,10,0,6,0,7,1
04400728,Hagenplatz,04,52.48321266658236,13.27361550235974,18,1,7,4,15,0
07200307,Bayerischer Platz,07,52.49005938880434,13.340684743883257,11,1,12,6,13,3
09501737,Alt-Friedrichshagen,09,52.4582932219151,13.634315751674398,47,0,20,11,19,0
10200524,Adele-Sandrock-Straße,10,52.53582337694041,13.621433909840684,28,1,7,0,5,1
03500932,Bühringstraße,03,52.55857705124111,13.444097145436215,10,1,6,0,8,0
07200413,Cheruskerstraße,07,52.47884366027762,13.362928675097375,9,1,20,8,30,4
02400520,Barnimkiez,02,52.52503186992729,13.433790890802232,15,0,5,4,5,0
02500836,Stralauer Halbinsel,02,52.493727064233724,13.4721547646716,13,0,8,2,5,0
12500928,Waidmannslust,12,52.60742187071482,13.315658736539069,15,1,16,6,6,1
05100210,Germersheimer Platz,05,52.54769259602848,13.185280693805646,16,0,4,3,2,0
08401246,Waltersdorfer Chaussee Ost,08,52.41316804364399,13.509708730333982,17,0,3,4,3,0
03300515,Blankenburger Süden,03,52.584789533021436,13.45434180985757,9,0,1,0,0,0
04500936,Droysenstraße,04,52.50186440423938,13.301694296367323,7,0,11,8,7,0
02300419,Wrangelkiez,02,52.49826812550117,13.445203795404302,6,2,25,40,24,7
08100208,Körnerpark,08,52.47181941520039,13.435169795185391,6,0,21,20,13,6
07100101,Wittenbergplatz,07,52.498679064382486,13.342958809153806,11,0,15,30,22,7
03500935,Behaimstraße,03,52.551058718253984,13.449817866252598,7,0,13,9,7,0
02200212,Graefekiez Süd,02,52.48923668746026,13.414044560673235,7,2,17,10,18,1
05200524,Döberitzer Weg,05,52.52515359350746,13.13315317545122,13,0,2,1,1,1
03400826,Tiroler Viertel,03,52.56083315470252,13.407927510923592,19,0,14,6,10,0
